iteration_id, objective_value
1,5527.109375
2,27577.763672
3,28496.845703
4,30362.486328
5,30607.005859
6,30514.380859
7,30559.726563
8,30508.501953
9,30499.283203
10,30478.722656
11,30457.310547
12,30435.556641
13,30424.265625
14,30417.703125
15,30411.722656
16,30405.648438
17,30399.570313
18,30393.500000
19,30390.431641
20,30388.822266
21,30387.265625
22,30385.707031
23,30384.919922
24,30384.519531
25,30384.128906
26,30383.732422
27,30383.533203
28,30383.437500
29,30383.386719
30,30383.363281
31,30383.347656
32,30383.341797
33,30383.335938
34,30383.333984
35,30383.333984
36,30383.337891
37,30383.337891
38,30383.337891
39,30383.337891
40,30383.337891
